name,prompt,negative_prompt
None,,
rendered-object-collection,"Tiny cute isometric {prompt}, soft smooth lighting, with soft colors, 100mm lens, 3d blender render, trending on polycount, modular constructivism, blue background, physically based rendering, centered",
cute-creature-collection,"3d fluffy {prompt}, closeup cute and adorable, cute big circular reflective eyes, long fuzzy fur, Pixar render, unreal engine cinematic smooth, intricate detail, cinematic",
isometric-room-collection,"Tiny cute isometric {prompt} in a cutaway box, soft smooth lighting, soft colors, __color__ and __color__ color scheme, soft colors, 100mm lens, 3d blender render",
low-poly-creature-collection,"kawaii low poly {prompt} character, 3d isometric render, white background, ambient occlusion, unity engine",
block-structure-collection,"Tiny cute isometric {prompt}, soft smooth lighting, soft colors, soft colors, 100mm lens, 3d blender render, trending on polycount, modular constructivism, blue blackground, physically based rendering, centered",
funky-pop-figurine-collection,"Funko pop {prompt} figurine, made of plastic, product studio shot, on a white background, diffused lighting, centered",
sport-team-logo-collection,"2d ferocious {prompt} head, vector illustration, angry eyes, football team emblem logo, 2d flat, centered",
gold-pendant-wireframe-collection,"gold {prompt} pendant, intricate 2d vector geometric, cutout shape pendant, blueprint frame lines sharp edges, svg vector style, product studio shoot",
surreal-micro-world-collection,"100mm photo of isometric floating island in the sky, surreal {prompt}, intricate, high detail, behance, microworlds smooth, macro sharp focus, centered",
hyper-realistic-anime-portrait-collection,"Closeup face portrait of {prompt}, smooth soft skin, big dreamy eyes, beautiful intricate colored hair, symmetrical, anime wide eyes, soft lighting, detailed face, by makoto shinkai, stanley artgerm lau, wlop, rossdraws, concept art, digital painting, looking into camera",
cute-sticker-collection,"Die-cut sticker, Cute kawaii {prompt} sticker, white background, illustration minimalism, vector, pastel colors",
space-hologram-collection,"Hologram of {prompt} floating in space, a vibrant digital illustration, dribbble, quantum wavetracing, black background, behance hd",
psychedelic-pop-art-collection,"Hypnotic illustration of {prompt}, hypnotic psychedelic art by Dan Mumford, pop surrealism, dark glow neon paint, mystical, Behance",
comic-art-collection,"Retro comic style artwork, highly detailed {prompt}, comic book cover, symmetrical, vibrant",
3d-character-collection,"Tiny cute {prompt} toy, standing character, soft smooth lighting, soft pastel colors, skottie young, 3d blender render, polycount, modular constructivism, pop surrealism, physically based rendering, square image​",
silhouette-wallpaper-collection,"Multiple layers of silhouette {prompt}, sharp edges, at sunset, with heavy fog in air, vector style, horizon silhouette Landscape wallpaper by Alena Aenami, firewatch game style, vector style background ",
needle-felt-object-collection,"tiny cute 3D felt fiber {prompt}, made from Felt fibers, a 3D render, trending on cgsociety, rendered in maya, rendered in cinema4d, made of yarn, square image",
cute-stuffed-animal-collection,"cute kawaii Squishy {prompt} plush toy, realistic texture, visible stitch line, soft smooth lighting, vibrant studio lighting, modular constructivism, physically based rendering, square image",
cal-art-concept,"{prompt}, in CALARTS art style",
flat-design-concept,"((({prompt}))) in [[kurzgesagt]] style, highly detailed, 4k",blurry,
3d-render-concept,"{prompt} in (redshift style), highly detailed, 3d model, 4k",
paper-cutout-concept,"(PaperCut style) {prompt}",
modern-3d-animation-concept,"modern disney style style {prompt}",
cel-shaded-concept,"({prompt}) in borderlands style",
16-bit-concept,"((({prompt}))) in pixelsprite style, highly detailed",
anime-concept,"{prompt} in anime style",
voxel-concept,"{prompt} in VoxelArt style, highly detailed",
